bike,number,min_speed(km/h),max_speed(km/h),target_location_daytime,target_location_nighttime,min_work-start,max_work_start,mim_work_end,max_work_end,lunch_start,lunch_end
living_in_cbd,840,8,10,,,6,10,16,20,12,13
living_outside_cbd,15062,8,10,,,6,9,16,20,12,13
