car,number,min_speed(km/h),max_speed(km/h),target_location_daytime,target_location_nighttime,min_work-start,max_work_start,mim_work_end,max_work_end
living_in_cbd,13485,10,40,,,6,10,16,20
living_outside_cbd,553331,10,40,,,6,9,16,20
